"Total Residential Sales In And Out Of Priority Funding Areas For Maryland's Jurisdictions, 2017-2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Total Sales,,,,,,,,INPFA,,,,,,,,OUTPFA,,,,,,,
,2017,2018,2019,2020,2021,2022,2023,2024,2017,2018,2019,2020,2021,2022,2023,2024,2017,2018,2019,2020,2021,2022,2023,2024
,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total 
Jurisdictions,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales
Source: Refer to Sale Data Methodology ,,,,,,,,,,,,,,,,,,,,,,,,
"Note: When total sales are less than five (5), the median value is calculated at $999.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Total Sales,,,,,,,,INPFA,,,,,,,,OUTPFA,,,,,,,
,2017,2018,2019,2020,2021,2022,2023,2024,2017,2018,2019,2020,2021,2022,2023,2024,2017,2018,2019,2020,2021,2022,2023,2024
,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
MARYLAND,"$359,859","$364,717","$368,053","$392,949","$430,446","$449,003","$468,413","$500,018","$339,286","$344,158","$345,862","$367,617","$402,142","$421,508","$440,014","$467,491","$475,475","$483,804","$489,113","$508,347","$588,922","$627,857","$632,934","$681,591"
,,,,,,,,,,,,,,,,,,,,,,,,
BALTIMORE REGION,"$338,103","$340,271","$340,834","$366,401","$392,478","$408,290","$427,275","$453,002","$310,900","$312,811","$310,800","$332,572","$355,710","$375,043","$390,142","$411,741","$524,098","$540,319","$549,437","$570,592","$672,223","$697,893","$724,550","$780,302"
Anne Arundel County,"$399,191","$403,616","$416,936","$445,406","$489,961","$519,233","$540,326","$567,902","$366,046","$368,923","$383,128","$404,717","$440,292","$480,250","$495,521","$519,969","$576,529","$592,043","$578,794","$635,146","$737,737","$755,059","$803,180","$841,670"
Baltimore County,"$294,663","$300,628","$292,587","$317,394","$345,381","$356,239","$387,820","$406,876","$269,954","$277,378","$269,499","$291,033","$315,976","$325,955","$353,346","$371,607","$515,253","$535,333","$535,316","$562,101","$669,717","$703,894","$719,179","$772,306"
Carroll County,"$343,638","$351,759","$356,513","$378,267","$412,844","$449,745","$474,168","$500,251","$311,055","$323,485","$324,301","$340,285","$374,039","$414,136","$427,973","$443,431","$394,451","$397,441","$407,801","$441,127","$485,552","$522,760","$549,424","$593,477"
Harford County,"$299,144","$301,397","$309,385","$328,243","$355,942","$375,542","$399,396","$415,165","$278,770","$282,619","$289,934","$306,928","$333,094","$351,928","$373,212","$384,331","$392,985","$406,235","$420,459","$432,175","$483,559","$500,518","$523,700","$560,613"
Howard County,"$474,030","$481,942","$485,791","$494,582","$554,250","$593,743","$620,120","$672,603","$433,346","$437,880","$432,996","$447,856","$493,120","$534,384","$554,815","$600,244","$756,117","$782,541","$789,792","$762,456","$924,525","$1,025,628","$1,031,659","$1,126,659"
Baltimore City,"$237,412","$233,185","$216,555","$210,066","$259,097","$270,946","$280,603","$283,655","$237,412","$233,185","$216,555","$210,066","$259,097","$270,946","$280,603","$283,655",---,---,---,---,---,---,---,---
,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON SUBURBAN REGION,"$427,692","$440,341","$448,060","$470,021","$524,661","$551,326","$574,520","$617,617","$412,704","$425,171","$433,045","$452,882","$503,197","$529,281","$553,998","$592,604","$565,995","$584,721","$566,774","$597,645","$727,108","$778,877","$779,993","$852,506"
Frederick County,"$327,123","$351,411","$367,016","$380,793","$440,115","$489,998","$505,197","$516,832","$313,445","$334,759","$351,289","$364,793","$422,936","$472,404","$490,847","$497,739","$389,123","$432,221","$436,789","$452,116","$530,573","$586,552","$584,302","$607,278"
Montgomery County,"$535,688","$551,475","$560,091","$584,962","$647,082","$675,491","$706,549","$754,105","$515,285","$531,420","$539,276","$560,996","$617,296","$644,142","$677,336","$716,508","$821,353","$811,006","$816,426","$858,922","$1,007,211","$1,110,901","$1,123,941","$1,202,025"
Prince George's County,"$323,390","$331,126","$347,074","$372,616","$398,933","$425,659","$443,384","$462,297","$305,733","$316,603","$329,532","$352,526","$381,304","$408,550","$424,083","$446,900","$472,103","$481,294","$473,003","$507,685","$583,407","$618,731","$640,150","$622,096"
,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN MARYLAND REGION,"$333,834","$338,002","$341,839","$366,743","$399,563","$432,775","$445,404","$465,080","$299,396","$298,686","$305,066","$326,045","$354,940","$388,918","$395,598","$415,172","$386,868","$396,571","$401,236","$425,836","$470,236","$511,707","$521,853","$539,082"
Calvert County,"$363,385","$376,894","$383,424","$403,442","$434,791","$466,927","$481,233","$497,957","$298,135","$302,835","$307,009","$327,812","$361,471","$385,689","$394,761","$423,980","$422,305","$447,837","$455,057","$482,854","$517,304","$562,284","$577,888","$579,261"
Charles County,"$327,884","$332,778","$336,068","$363,103","$399,801","$438,802","$441,642","$464,214","$303,860","$303,608","$313,000","$333,174","$362,402","$401,542","$402,225","$422,402","$384,680","$391,599","$390,686","$424,245","$479,924","$526,009","$522,183","$548,189"
St. Mary's County,"$315,427","$308,473","$314,418","$339,968","$365,895","$390,021","$421,540","$437,669","$289,814","$285,874","$287,464","$310,620","$334,219","$363,435","$382,997","$395,520","$347,527","$340,707","$353,396","$374,242","$408,723","$433,755","$470,745","$491,244"
,,,,,,,,,,,,,,,,,,,,,,,,
WESTERN MARYLAND REGION,"$228,583","$230,465","$231,665","$260,042","$291,080","$302,251","$320,154","$345,349","$192,739","$199,197","$196,483","$212,397","$232,120","$256,041","$265,955","$281,724","$344,630","$335,219","$351,350","$405,982","$495,695","$476,743","$524,523","$561,958"
Allegany County,"$115,258","$122,014","$119,696","$127,195","$143,200","$147,771","$153,156","$178,097","$113,900","$118,199","$117,645","$124,896","$136,953","$144,712","$149,776","$173,885","$135,537","$162,578","$143,177","$154,522","$225,866","$192,736","$196,431","$223,267"
Garrett County,"$370,749","$359,219","$363,786","$434,235","$535,546","$522,848","$554,535","$611,898","$284,199","$282,652","$234,838","$305,657","$353,495","$349,146","$343,542","$388,771","$407,136","$388,630","$420,570","$489,218","$618,922","$599,201","$646,761","$705,846"
Washington County,"$220,411","$227,829","$235,145","$249,725","$272,232","$308,607","$325,164","$340,054","$209,282","$216,794","$222,652","$234,226","$256,970","$297,274","$311,104","$319,779","$283,786","$294,270","$304,605","$331,539","$365,031","$375,985","$418,545","$453,327"
,,,,,,,,,,,,,,,,,,,,,,,,
